Item Number,Qty On Hand,Qty Backordered,Qty On Order,Item Next Availability Date,Item d (1),Item Description
Set-72,2,,,,0,Luxe 6 Pieces Modular Set
Set-73,2,,,,0,Luxe 7 Pieces Modular Set
Set-74,2,,,,0,Luxe 8 Pieces Modular Set
Set-75,1,,,,0,Sahara 9 Pieces Stackable Armchair and Oval Double Extension Outdoor Dining Set
Set-76,1,,,,0,Sahara 9 Pieces Dining Chair and Oval Double Extension Outdoor Dining Set
Set-77,1,,,,0,Sahara 9 Pieces Stackable Armchair and Bahama Rectangular Extension Outdoor Dining Set
Set-78,1,,,,0,Sahara 11-Piece Chairs and Oval Double Extension Outdoor Dining Set
Set-79,1,,,,0,Sahara 9 Pieces Dining Chair and Bahama Rectangular Extension Outdoor Dining Set
Set-8,1,,,,0,Rialto 13-Pieces Oval Extension Dining Set
Set-80,1,,,,0,Sahara 9 Pieces Stackable Armchair and Bahama Rectangular Extension Outdoor Dining Set
Set-81,1,,,,0,Sahara 9 Pieces Dining Chair and Bahama Rectangular Extension Outdoor Dining Set
Set-82,1,,,,0,Sahara 7 Pieces Dining Chair and Bahama Oval Extension Outdoor Dining Set
Set-83,1,,,,0,Sahara 7 Pieces Armchair and Bahama Oval Extension Outdoor Dining Set
Set-84,1,,,,0,Sahara 7 Pieces Chairs and Bahama Oval Extension Outdoor Dining Set
Set-85,1,,,,0,Sahara 9 Pieces Dining Chair and Bahama Oval Extension Outdoor Dining Set
Set-86,1,,,,0,Sahara 7 Pieces Dining Armchair and Bahama Oval Extension Outdoor Dining Set
Set-87,1,,,,0,Sahara 9 Pieces Chairs and Bahama Oval Extension Outdoor Dining Set
Set-88,1,,,,0,Sahara 11-Piece Chairs and Bahama Rectangular Extension Outdoor Dining Set
Set-89,1,,,,0,Sahara 11-Piece Chairs and Bahama Rectangular Extension Outdoor Dining Set
Set-9,2,,,,0,Avalon 5 Pieces Bar Set
Set-90,1,,,,0,Sahara 13 Pieces Chairs and Valencia Double Extension Rectangular Extension Outdoor Dining Set
Set-91,6,,,,0,Riviera 2-Pieces Modular Set
Set-92,2,,,,0,Riviera 5-Pieces Modular Set
Set-93,2,,,,0,Riviera 7-Pieces Modular Set
Set-94,2,,,,0,Riviera 8-Pieces Modular Set
Set-95,2,,,,0,Riviera 4-Pieces Modular Set
Set-96,2,,,,0,Riviera 7-Pieces Modular Set
Set-97,2,,,,0,Riviera 7-Pieces Modular Set
Set-98,2,,,,0,Riviera 10-pieces set
Set-98A,2,,,,0,Riviera 10-pieces set
Set-98B,2,,,,0,Riviera 11-pieces set
Set-98C,1,,,,0,Riviera 5-pieces set
Set-P16,0,,,,1,Regency Collection
Set-P17,0,,,,1,Magnolia Collection
Set-SL-071,3,,,,0,Capri 4 Pieces Outdoor Sun Lounger set
Set-SL-109,0,,,4/15/2022,0,Brianna 4 Pieces Outdoor Sun Lounger set
SL-016,0,,,,1,Bellagio Sun Lounger with Teak Wood Arm
SL-071N,14,,,,0,Sun Lounger Adjusted Back and Side Tray with Stainless Steel Ledge
SL-1008,7,,,,0,Lucca Sun Lounger
SL-109N,2,,,,0,Brianna Sun Lounger with arm with Stainless Steel Ledge
SL-209N,2,,,,0,Brianna Double Sun Lounger with arm with Stainless Steel Ledge
SL-282N,1,,,,0,Double Sun Lounger Double Back with Stainless Steel Ledge
SL-3020,0,,,6/30/2022,0,SouthBay Sun Lounger
SL-808,3,,,,0,Capistrano Sun Lounger
SPA-1515,17,,,,0,Spa 4 Shelves Table
SPA-1519,34,,,,0,Spa 2 Shelves Table
SPA-1919,9,,,,0,Shower Stool Corner
SPA-2518,25,,,,0,Rectangular Small Shower Mat
SPA-3030,22,,,,0,Large Square Shower Mat
SPA-3120,2,,,,0,Rectangular Shower Mat Roll It & Go!
SPA-3920,36,,,,0,Rectangular Shower Mat
SPA-4720,2,,,,0,Towel Console with 2 Shelves Table
SPA-5050,46,,,,0,Shower Mat Roll It and Go!
SPA-6161,11,,,,0,Square Shower Mat
SR-002,2,,,,1,Venetian Dining Table Set
SR-016DS,1,,,,1,Bellagio Deep Seating Set
SR-016TB,1,,,,1,Bellagio Dining Set
SR-048,1,,,,1,Montebello Dining Set
SR-052,2,,,,1,Milano Dining Set
SR-1013,1,,,,1,Sorrento Dining Set
SR-5010,3,,,,1,Coto de Casa Deep Seating Set
SR-5078,1,,,,1,Palm Beach Dining Set
SR-622,2,,,,1,Sheraton Dining Set Table
ST-021,2,,,,0,Occasional Flower Side Table
ST-031,0,,,8/30/2022,0,Regency Flower Side Table
ST-035,1,,,,0,Victorian Pedestal Side Table
ST-124,31,,,,0,Royal Steamer Chair
ST-139M,0,,,8/30/2022,0,Bella Side Table w/ Marble Top
ST-189,1,,,,0,Victorian Claw Feet Side Table
ST-2700,7,,,,0,Tropicana Steamers
SW-003S,24,,,,0,Del Amo Straight Swing Bench
SW-004S,22,,,,0,Del AmoStraight Swing Bench
SW-048R,13,,,,0,Del Amo Round Swing Bench
T-002,2,,,,0,Cobana Large Trash Bin
TB-002,3,,,,0,Venetian  Round Table with Teak Wood Table Top 
TB-004CT,2,,,,0,Bahama Rectangular Coffee Table
TB-004KT,13,,,,0,Kidney Table (Curve Table)
TB-004RF,5,,,,0,Tossca Round Table
TB-005RF,2,,,,0,Tosca Round Table
TB-016CT,0,,,,1,Bellagio Rectangular Coffee Table 
TB-016R,0,,,,1,Bellagio Rectangular Table with Teak Wood Table Top
TB-016SQ,0,,,,1,Bellagio Square Side Table
TB-020MS,254,,,,0,Bahama Square Mini Side Table
TB-024SS,7,,,,0,Windsor Side Table with 2 Tier
TB-025BT,0,,,,1,Portofino Bar Table
